frame_id,condition,region_sources,n_annotation_regions,n_fallback_regions,n_model_regions,ground_truth_label,model_prediction,prediction_confidence,semantic_source
5991fad3280c4f84b331536c32001a04,original,"{'fallback': np.int64(474), 'annotation': np.int64(59)}",59,474,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,dropout_5pct,"{'fallback': np.int64(471), 'annotation': np.int64(59)}",59,471,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,dropout_10pct,"{'fallback': np.int64(467), 'annotation': np.int64(59)}",59,467,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,dropout_20pct,"{'fallback': np.int64(458), 'annotation': np.int64(58)}",58,458,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,dropout_30pct,"{'fallback': np.int64(448), 'annotation': np.int64(56)}",56,448,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,sparse_75pct,"{'fallback': np.int64(460), 'annotation': np.int64(57)}",57,460,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,sparse_50pct,"{'fallback': np.int64(426), 'annotation': np.int64(56)}",56,426,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,sparse_25pct,"{'fallback': np.int64(372), 'annotation': np.int64(42)}",42,372,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,noise_low,"{'fallback': np.int64(474), 'annotation': np.int64(58)}",58,474,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,noise_medium,"{'fallback': np.int64(478), 'annotation': np.int64(57)}",57,478,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
5991fad3280c4f84b331536c32001a04,noise_high,"{'fallback': np.int64(485), 'annotation': np.int64(56)}",56,485,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
6d1d793b68b24165be5755a54054c82a,original,"{'fallback': np.int64(736), 'annotation': np.int64(23)}",23,736,0,annotation boxes (object-level reference only; no point-level lidarseg used),NONE — no trained perception model in this evaluation path,NaN (not applicable for annotation/fallback),annotation+fallback
